,category,alignment,gender
54,advertising marketing printing services,-0.05098103648911301,M
0,amusement water theme parks,0.020033513887820795,F
48,artificial sweeteners,0.09966673078777616,F
70,automotive batteries,-0.020808731880823834,M
44,beauty shops,0.3241669139270751,F
12,bedding linens,0.09018051280430336,F
2,beer ale,-0.0048483843916977964,M
38,cable television providers systems,-0.10193358771807959,M
9,cameras,-0.046821392341621054,M
63,candy mints,0.09915768185091642,F
58,casual dining restaurants,0.03267936485283566,F
24,cat dog food,0.10941236293875359,F
29,cereals,-0.014758390528123248,M
5,chips nuts popcorn pretzels,0.07284772942217169,F
62,cocoa milk additives,0.07812141356919713,F
30,coffee,0.06884000556189786,F
13,coffee donut restaurants,0.07733396908616127,F
33,cold cough sinus asthma remedies,0.06713600012689375,F
42,cookies crackers,0.12476117982054144,F
60,cooking oils,0.03337709618506784,F
7,credit cards,0.04722588444482873,F
20,cruise ship travel,0.12842071295605245,F
11,deodorants antiperspirants,0.05556213216990407,F
52,desktop computers,0.02764460486151932,F
3,dinnerware glassware pottery,0.0981109911017646,F
67,dishwashing detergents,0.017287433213031195,F
71,electronic video games software,-0.05804718756857186,M
17,employment agencies,-0.010134550466008755,M
56,face makeup,0.16957756851376837,F
55,fishing tackle equipment,-0.051905322836624024,M
16,fragrances,0.05911542539019822,F
35,handbags,0.1614436986567997,F
18,household batteries,0.04970278821846419,F
64,household paper products,0.0505517558079142,F
66,ice cream frozen novelties sherbet,0.13367756551477544,F
53,insurance agencies brokers,-0.022423044445570715,M
59,internet service providers,-0.027438409778878507,M
43,investment products services,-0.05107680803810771,M
21,laundry equipment,0.0025826907745432797,F
32,loan credit products services,0.005276633402522678,F
25,mattresses box springs,0.05050514776223671,F
34,men scents fragrances aftershaves,-0.17196075106279504,M
19,mens shaving equipment supplies,-0.29474410131629225,M
26,multipurpose cleaners,-0.06772771303065557,M
47,nutritional supplements,0.028929537503401152,F
22,office furniture accessories,0.08191364140135038,F
69,pain remedies,0.02885385579963204,F
39,paint,0.003205174660630996,F
23,pasta pasta dishes,0.10879921032431035,F
37,peanut butter sandwich spreads,0.09141431992014301,F
14,printers printing accessories,-0.04397561524563934,M
45,religious charitable humanitarian,0.02264152323045974,F
31,security fire safety systems,-0.06445423321080401,M
50,skin care products,0.12080878053151044,F
6,sneakers,-0.0290672720292251,M
27,snow skis boards blades accessories,-0.012601069711041274,M
40,sporting goods,-0.09597532922546857,M
51,sporting goods stores,-0.06824646448418129,M
41,sportswear athleticwear,-0.07571857074191593,M
57,stationery greeting cards miscellaneous paper goods,0.024680594117610706,F
1,stuffed toys,0.03647484439298239,F
15,sunglasses,-0.007136655411243871,M
10,toothpaste whiteners,0.05520970529980841,F
46,toy stores,0.010771424182380376,F
65,travel services,-0.06876105253454887,M
4,tv networks stations production companies,-0.06640602777996757,M
36,unisex scents fragrances perfumes,0.13745295156380113,F
28,vehicles sales leasing,-0.08388457344279959,M
8,web design domain hosting services,-0.0030494987531314473,M
49,women scents fragrances perfumes,0.5002102799594217,F
68,women shaving supplies,0.4676324129453777,F
61,women shoes boots,0.415145250285464,F
