,,0
sunglasses,sneakers,0.4960634708404541
sunglasses,women shoes boots,0.4554704427719116
sunglasses,handbags,0.3880791962146759
women shaving supplies,mens shaving equipment supplies,0.8259486556053162
women shaving supplies,deodorants antiperspirants,0.44404345750808716
women shaving supplies,skin care products,0.4321158826351166
religious charitable humanitarian,sporting goods,0.30984556674957275
religious charitable humanitarian,women shaving supplies,0.3026653230190277
religious charitable humanitarian,employment agencies,0.2758086919784546
employment agencies,insurance agencies brokers,0.5945465564727783
employment agencies,investment products services,0.42510491609573364
employment agencies,internet service providers,0.41307681798934937
face makeup,paint,0.3706792891025543
face makeup,skin care products,0.33448171615600586
face makeup,sunglasses,0.3047116994857788
artificial sweeteners,cocoa milk additives,0.46662095189094543
artificial sweeteners,ice cream frozen novelties sherbet,0.42998450994491577
artificial sweeteners,nutritional supplements,0.39520877599716187
cooking oils,pasta pasta dishes,0.5560352206230164
cooking oils,dishwashing detergents,0.49094852805137634
cooking oils,cocoa milk additives,0.46999943256378174
credit cards,loan credit products services,0.6183924078941345
credit cards,stationery greeting cards miscellaneous paper goods,0.5067992210388184
credit cards,household paper products,0.3024556040763855
electronic video games software,desktop computers,0.5405125617980957
electronic video games software,cable television providers systems,0.48315349221229553
electronic video games software,web design domain hosting services,0.46009284257888794
sporting goods stores,sporting goods,0.8429118990898132
sporting goods stores,toy stores,0.6537421941757202
sporting goods stores,beauty shops,0.5238909125328064
casual dining restaurants,coffee donut restaurants,0.6218016147613525
casual dining restaurants,pasta pasta dishes,0.43586719036102295
casual dining restaurants,sporting goods stores,0.37389081716537476
tv networks stations production companies,cable television providers systems,0.7338228225708008
tv networks stations production companies,internet service providers,0.5109266638755798
tv networks stations production companies,investment products services,0.43341004848480225
bedding linens,office furniture accessories,0.5614298582077026
bedding linens,dinnerware glassware pottery,0.5475435853004456
bedding linens,laundry equipment,0.5190442204475403
toy stores,sporting goods stores,0.6537421941757202
toy stores,stuffed toys,0.5690850019454956
toy stores,office furniture accessories,0.4975292384624481
cat dog food,coffee donut restaurants,0.4133228659629822
cat dog food,stuffed toys,0.38186919689178467
cat dog food,chips nuts popcorn pretzels,0.36310333013534546
women scents fragrances perfumes,unisex scents fragrances perfumes,0.962233304977417
women scents fragrances perfumes,men scents fragrances aftershaves,0.9588801860809326
women scents fragrances perfumes,fragrances,0.9147570133209229
cereals,cocoa milk additives,0.6262973546981812
cereals,nutritional supplements,0.46841704845428467
cereals,cookies crackers,0.4260975122451782
pasta pasta dishes,cooking oils,0.5560351610183716
pasta pasta dishes,peanut butter sandwich spreads,0.5138900279998779
pasta pasta dishes,coffee donut restaurants,0.502413272857666
mens shaving equipment supplies,women shaving supplies,0.8259486556053162
mens shaving equipment supplies,laundry equipment,0.6148761510848999
mens shaving equipment supplies,office furniture accessories,0.4821975827217102
web design domain hosting services,internet service providers,0.6262925863265991
web design domain hosting services,advertising marketing printing services,0.5202755928039551
web design domain hosting services,investment products services,0.5190312266349792
women shoes boots,sneakers,0.6736860871315002
women shoes boots,sportswear athleticwear,0.5019819736480713
women shoes boots,handbags,0.49315309524536133
beer ale,coffee donut restaurants,0.4918639361858368
beer ale,coffee,0.4792644679546356
beer ale,ice cream frozen novelties sherbet,0.3456677198410034
travel services,investment products services,0.5582899451255798
travel services,cruise ship travel,0.5565220713615417
travel services,internet service providers,0.5248590707778931
fragrances,unisex scents fragrances perfumes,0.9148333668708801
fragrances,women scents fragrances perfumes,0.9147570133209229
fragrances,men scents fragrances aftershaves,0.8855108022689819
sportswear athleticwear,handbags,0.5425585508346558
sportswear athleticwear,women shoes boots,0.5019819736480713
sportswear athleticwear,unisex scents fragrances perfumes,0.4869358539581299
dinnerware glassware pottery,bedding linens,0.5475435853004456
dinnerware glassware pottery,office furniture accessories,0.5061500668525696
dinnerware glassware pottery,pasta pasta dishes,0.4389455318450928
internet service providers,cable television providers systems,0.7003296613693237
internet service providers,web design domain hosting services,0.6262925863265991
internet service providers,investment products services,0.544029951095581
dishwashing detergents,toothpaste whiteners,0.5792568325996399
dishwashing detergents,deodorants antiperspirants,0.5446919202804565
dishwashing detergents,cooking oils,0.49094852805137634
paint,face makeup,0.3706792891025543
paint,toothpaste whiteners,0.3432506322860718
paint,dinnerware glassware pottery,0.31088095903396606
pain remedies,cold cough sinus asthma remedies,0.667452335357666
pain remedies,skin care products,0.36185306310653687
pain remedies,nutritional supplements,0.29948416352272034
